Word & Type	Greek	English translation	dStrongs = Grammar	Dictionary form =  Gloss	editions	Meaning variants	Spelling variants	Spanish translation	Sub-meaning	Conjoin word	sStrong+Instance	Alt Strongs
Mat.1.10#02	δὲ	And	G1161=CONJ	δέ=but/and	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			pero	and	#07	G1161_A	
Mat.1.10#03	εζεκιας	Ezekias	G1478=N-NSM								G1478_A	
Mat.1.10#04	ἐγέννησεν	begat	G1080=V-AAI-3S	γεννάω=to beget	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			generó	to beget	#08	G1080_A	
Mat.1.10#05	τὸν	Manasses	G3588/G3128=T-ASM	ὁ=the/this/who	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			a el	the	#09»10:G0301	G3588_B	
Mat.1.10#06	δὲ	and	G1161=CONJ	δέ=but/and	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			pero	and	#12	G1161_B	
Mat.1.10#07	μανασσης	Manasses	G3128=N-NSM								G3128_A	
Mat.1.10#08	ἐγέννησεν	begat	G1080=V-AAI-3S	γεννάω=to beget	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			generó	to beget	#13	G1080_B	
Mat.1.10#09	αμων	Amon	G300=N-PRI								G300_A	
Mat.1.10#10	δε	and	G1161=CONJ								G1161_C	
Mat.1.10#11	αμων	Amon	G300=N-PRI								G300_B	
Mat.1.10#12	εγεννησεν	begat	G1080=V-AAI-3S								G1080_C	
Mat.1.10#13	τὸν Ἰωσίαν·	Josias	G3588/G2502=T-ASM	Ἰωσίας=Josiah / ὁ=the/this/who	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz		Tyn+WH: Ἰωσείαν ;	a el Josías	the Josiah»Josiah|Josiah@1Ki.13.2	#14»15:G2502 #15	G3588_C	
Mat.1.11#01	δὲ	And	G1161=CONJ	δέ=but/and	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			pero	and	#02	G1161_A	
Mat.1.11#02	ιωσιας	Josias	G2502=N-NSM								G2502_A	
Mat.1.11#03	ἐγέννησεν	begat	G1080=V-AAI-3S	γεννάω=to beget	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			generó	to beget	#03	G1080_A	
Mat.1.11#04	τὸν Ἰεχονίαν	Jechonias	G3588/G2423=T-ASM	Ἰεχονίας=Jeconiah / ὁ=the/this/who	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			a el Jeconías	the Jehoiachin»Jehoiachin|Jehoiachin@2Ki.24.6	#04»05:G2423 #05	G3588_A	
Mat.1.11#05	καὶ	and	G2532=CONJ	καί=and	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			y	and	#06	G2532_A	
Mat.1.11#06	τοὺς ἀδελφοὺς	his brethren	G3588/G80=T-APM	ἀδελφός=brother / ὁ=the/this/who	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			a los hermanos	the brother	#07»08:G0080 #08	G3588_B	
Mat.1.11#07	ἐπὶ	about the time	G1909=PREP	ἐπί=upon/to/against	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			sobre	upon	#10	G1909_A	
Mat.1.11#08	αυτου	they	G846=P-GSM								G846_A	
Mat.1.11#09	τῆς μετοικεσίας	were carried away to	G3588/G3350=T-GSF	μετοικεσία=deportation / ὁ=the/this/who	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			el cambio de casa	the deportation	#11»12:G3350 #12	G3588_C	
Mat.1.11#10	Βαβυλῶνος.¶	Babylon	G897=N-GSF	Βαβυλών=Babylon	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			(a) Babilonia	Babylon»Babylon|Babylon@Gen.10.10	#13	G897_A	
Mat.1.12#01	τὴν		G3588=T-ASM	ὁ=the/this/who	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			el	the	#03»04:G3350	G3588_A	
Mat.1.12#02	τὸν		G3588=T-ASM	ὁ=the/this/who	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			a el	the	#08»09:G4528	G3588_B	
Mat.1.12#03	δὲ	And	G1161=CONJ	δέ=but/and	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			pero	and	#11	G1161_A	
Mat.1.12#04	μετα	after	G3326=PREP								G3326_A	
Mat.1.12#05	τὸν	they were brought to	G3588/G3350=T-ASF	ὁ=the/this/who	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			a el	the	#13»14:G2216	G3588_C	
Mat.1.12#06	βαβυλωνος	Babylon	G897=N-GSF								G897_A	
Mat.1.12#07	ιεχονιας	Jechonias	G2423=N-NSM								G2423_A	
Mat.1.12#08	εγεννησεν	begat	G1080=V-AAI-3S								G1080_A	
Mat.1.12#09	σαλαθιηλ	Salathiel	G4528=N-PRI								G4528_A	
Mat.1.12#10	δε	and	G1161=CONJ								G1161_B	
Mat.1.12#11	σαλαθιηλ	Salathiel	G4528=N-PRI								G4528_B	
Mat.1.12#12	εγεννησεν	begat	G1080=V-AAI-3S								G1080_B	
